GEMBASE_NAME,ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,Isolation source,Strain Category,phylogroup
ESCO.0216.00081,H365,GCA_902837635,PRJEB34791,ERS3882819,CADFVK010000001-CADFVK010000261,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00082,E4942,GCA_902837595,PRJEB34791,ERS3882820,CADFVB010000001-CADFVB010000075,Environmental,Water,B2
ESCO.0216.00083,E7591,GCA_902837685,PRJEB34791,ERS3882821,CADFVN010000001-CADFVN010000079,Environmental,Water,B2
ESCO.0216.00084,H148,GCA_902837695,PRJEB34791,ERS3882822,CADFVQ010000001-CADFVQ010000186,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00085,POSS_77,GCA_902837665,PRJEB34791,ERS3882823,CADFVJ010000001-CADFVJ010000088,Host-associated,Mammal_Faecal,B2
ESCO.0216.00086,H087,GCA_902837765,PRJEB34791,ERS3882824,CADFVT010000001-CADFVT010000120,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00087,H151,GCA_902837755,PRJEB34791,ERS3882825,CADFVS010000001-CADFVS010000235,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00088,48_1_R18,GCA_902837805,PRJEB34791,ERS3882826,CADFWA010000001-CADFWA010000049,Host-associated,Human_Intestinal,B2
ESCO.0216.00089,E4931,GCA_902837835,PRJEB34791,ERS3882827,CADFVW010000001-CADFVW010000085,Environmental,Water,B2
ESCO.0216.00090,62_1_Ti3,GCA_902837855,PRJEB34791,ERS3882828,CADFWI010000001-CADFWI010000088,Host-associated,Human_Intestinal,B2
ESCO.0216.00091,51_1_Ti1,GCA_902837885,PRJEB34791,ERS3882829,CADFVV010000001-CADFVV010000071,Host-associated,Human_Intestinal,B1
ESCO.0216.00092,BS45,GCA_902837775,PRJEB34791,ERS3882830,CADFWG010000001-CADFWG010000076,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00093,CD_34_LN,GCA_902837905,PRJEB34791,ERS3882831,CADFWF010000001-CADFWF010000079,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00094,GNB_2846,GCA_902837795,PRJEB34791,ERS3882832,CADFWK010000001-CADFWK010000126,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00095,H154,GCA_902837915,PRJEB34791,ERS3882833,CADFVX010000001-CADFVX010000179,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00096,47_1_TC4,GCA_902837825,PRJEB34791,ERS3882834,CADFVZ010000001-CADFVZ010000063,Host-associated,Human_Intestinal,B2
ESCO.0216.00097,CD_57_LN,GCA_902837845,PRJEB34791,ERS3882835,CADFWB010000001-CADFWB010000066,Host-associated,Human_Extra-intestinal,B1
ESCO.0216.00098,H355,GCA_902837925,PRJEB34791,ERS3882836,CADFVY010000001-CADFVY010000095,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00099,E8766,GCA_902837895,PRJEB34791,ERS3882837,CADFWJ010000001-CADFWJ010000268,Environmental,Water,B2
ESCO.0216.00101,E5629,GCA_902837865,PRJEB34791,ERS3882839,CADFWC010000001-CADFWC010000062,Environmental,Water,B1
ESCO.0216.00102,W2_47,GCA_902837815,PRJEB34791,ERS3882840,CADFWD010000001-CADFWD010000065,Host-associated,Poultry_Meat,B2
ESCO.0216.00103,E5631,GCA_902837875,PRJEB34791,ERS3882841,CADFVU010000001-CADFVU010000066,Environmental,Water,B1
ESCO.0216.00104,47_3_R4,GCA_902837935,PRJEB34791,ERS3882842,CADFWE010000001-CADFWE010000068,Host-associated,Human_Intestinal,B1
ESCO.0216.00105,69_1_Ti1,GCA_902837945,PRJEB34791,ERS3882843,CADFWL010000001-CADFWL010000068,Host-associated,Human_Intestinal,B2
ESCO.0216.00106,72_6_Ti12,GCA_902837985,PRJEB34791,ERS3882844,CADFWP010000001-CADFWP010000068,Host-associated,Human_Intestinal,B2
ESCO.0216.00107,W2_50,GCA_902837955,PRJEB34791,ERS3882845,CADFWM010000001-CADFWM010000068,Host-associated,Poultry_Meat,B2
ESCO.0216.00108,TA341,GCA_902837995,PRJEB34791,ERS3882846,CADFWQ010000001-CADFWQ010000119,Host-associated,Mammal_Faecal,B1
ESCO.0216.00109,54_1_TC4,GCA_902837975,PRJEB34791,ERS3882847,CADFWO010000001-CADFWO010000080,Host-associated,Human_Intestinal,B2
ESCO.0216.00110,H022,GCA_902837965,PRJEB34791,ERS3882848,CADFWN010000001-CADFWN010000122,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00111,H008,GCA_902838035,PRJEB34791,ERS3882849,CADFXC010000001-CADFXC010000158,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00112,TA421,GCA_902838115,PRJEB34791,ERS3882850,CADFWZ010000001-CADFWZ010000158,Host-associated,Mammal_Faecal,B2
ESCO.0216.00113,H358,GCA_902838095,PRJEB34791,ERS3882851,CADFXA010000001-CADFXA010000237,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00115,56_2_AC5,GCA_902838055,PRJEB34791,ERS3882852,CADFWS010000001-CADFWS010000076,Host-associated,Human_Intestinal,B2
ESCO.0216.00116,B1911,GCA_902838025,PRJEB34791,ERS3882853,CADFWW010000001-CADFWW010000077,Host-associated,Bird_Faecal,A
ESCO.0216.00117,TA436,GCA_902838015,PRJEB34791,ERS3882854,CADFWR010000001-CADFWR010000125,Host-associated,Mammal_Faecal,B1
ESCO.0216.00118,25_1_ADC_2,GCA_902838005,PRJEB34791,ERS3882855,CADFXD010000001-CADFXD010000130,Host-associated,Human_Intestinal,D
ESCO.0216.00119,TA092,GCA_902838075,PRJEB34791,ERS3882856,CADFWY010000001-CADFWY010000134,Host-associated,Mammal_Faecal,B2
ESCO.0216.00120,H083,GCA_902838105,PRJEB34791,ERS3882857,CADFWU010000001-CADFWU010000136,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00121,H062,GCA_902838045,PRJEB34791,ERS3882858,CADFWX010000001-CADFWX010000163,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00122,E7090,GCA_902838125,PRJEB34791,ERS3882859,CADFXB010000001-CADFXB010000183,Environmental,Water,E
ESCO.0216.00123,H249,GCA_902838085,PRJEB34791,ERS3882860,CADFWV010000001-CADFWV010000206,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00124,H077,GCA_902838065,PRJEB34791,ERS3882861,CADFWT010000001-CADFWT010000345,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00126,E7618,GCA_902838135,PRJEB34791,ERS3882862,CADFXE010000001-CADFXE010000078,Environmental,Water,B1
ESCO.0216.00127,A3_5,GCA_902838145,PRJEB34791,ERS3882863,CADFXG010000001-CADFXG010000078,Host-associated,Poultry_Meat,B2
ESCO.0216.00131,69_1_AU1_1,GCA_902838165,PRJEB34791,ERS3882864,CADFXI010000001-CADFXI010000120,Host-associated,Human_Intestinal,B2
ESCO.0216.00133,B472,GCA_902838175,PRJEB34791,ERS3882865,CADFXH010000001-CADFXH010000122,Host-associated,Bird_Faecal,E
ESCO.0216.00134,H648,GCA_902838185,PRJEB34791,ERS3882866,CADFXJ010000001-CADFXJ010000199,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00135,55_1_Ti19,GCA_902838155,PRJEB34791,ERS3882867,CADFXF010000001-CADFXF010000085,Host-associated,Human_Intestinal,B2
ESCO.0216.00138,H630,GCA_902838255,PRJEB34791,ERS3882868,CADFXO010000001-CADFXO010000110,Host-associated,Human_Faecal,B2
ESCO.0216.00139,B1743,GCA_902838195,PRJEB34791,ERS3882869,CADFXK010000001-CADFXK010000136,Host-associated,Bird_Faecal,E
ESCO.0216.00140,TA349,GCA_902838275,PRJEB34791,ERS3882870,CADFXQ010000001-CADFXQ010000138,Host-associated,Mammal_Faecal,D
ESCO.0216.00141,E7087,GCA_902838235,PRJEB34791,ERS3882871,CADFXS010000001-CADFXS010000260,Environmental,Water,B2
ESCO.0216.00143,58_2_AC1,GCA_902838225,PRJEB34791,ERS3882872,CADFXM010000001-CADFXM010000073,Host-associated,Human_Intestinal,B2
ESCO.0216.00144,55_1_AU4,GCA_902838285,PRJEB34791,ERS3882873,CADFXN010000001-CADFXN010000082,Host-associated,Human_Intestinal,B2
ESCO.0216.00145,W2_56,GCA_902838265,PRJEB34791,ERS3882874,CADFXT010000001-CADFXT010000087,Host-associated,Poultry_Meat,B2
ESCO.0216.00146,B1201,GCA_902838205,PRJEB34791,ERS3882875,CADFXL010000001-CADFXL010000088,Host-associated,Bird_Faecal,D
ESCO.0216.00147,B1893,GCA_902838245,PRJEB34791,ERS3882876,CADFXR010000001-CADFXR010000090,Host-associated,Bird_Faecal,A
ESCO.0216.00148,BS17,GCA_902838215,PRJEB34791,ERS3882877,CADFXP010000001-CADFXP010000096,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00150,46_1_Ti2,GCA_902838345,PRJEB34791,ERS3882878,CADFXX010000001-CADFXX010000127,Host-associated,Human_Intestinal,B2
ESCO.0216.00151,TA450,GCA_902838405,PRJEB34791,ERS3882879,CADFYG010000001-CADFYG010000153,Host-associated,Mammal_Faecal,B1
ESCO.0216.00152,H073,GCA_902838425,PRJEB34791,ERS3882880,CADFYK010000001-CADFYK010000156,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00153,M526,GCA_902838465,PRJEB34791,ERS3882881,CADFYC010000001-CADFYC010000163,Host-associated,Mammal_Faecal,D
ESCO.0216.00154,E9783,GCA_902838415,PRJEB34791,ERS3882882,CADFXY010000001-CADFXY010000072,Environmental,Water,B1
ESCO.0216.00155,E2853,GCA_902838395,PRJEB34791,ERS3882883,CADFYH010000001-CADFYH010000077,Environmental,Water,B1
ESCO.0216.00157,M663475,GCA_902838445,PRJEB34791,ERS3882884,CADFXZ010000001-CADFXZ010000100,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00158,E4173,GCA_902838475,PRJEB34791,ERS3882885,CADFYL010000001-CADFYL010000120,Environmental,Water,A
ESCO.0216.00160,M528,GCA_902838375,PRJEB34791,ERS3882886,CADFXW010000001-CADFXW010000168,Host-associated,Mammal_Faecal,B2
ESCO.0216.00161,57_3_Ti5,GCA_902838385,PRJEB34791,ERS3882887,CADFYJ010000001-CADFYJ010000184,Host-associated,Human_Intestinal,B2
ESCO.0216.00163,H451,GCA_902838335,PRJEB34791,ERS3882888,CADFYD010000001-CADFYD010000075,Host-associated,Human_Faecal,A
ESCO.0216.00164,B1851,GCA_902838305,PRJEB34791,ERS3882889,CADFXV010000001-CADFXV010000093,Host-associated,Bird_Faecal,A
ESCO.0216.00166,TA455,GCA_902838365,PRJEB34791,ERS3882890,CADFYE010000001-CADFYE010000123,Host-associated,Mammal_Faecal,B1
ESCO.0216.00167,H173,GCA_902838325,PRJEB34791,ERS3882891,CADFYI010000001-CADFYI010000141,Host-associated,Human_Faecal,C
ESCO.0216.00168,57_5_R8,GCA_902838295,PRJEB34791,ERS3882892,CADFXU010000001-CADFXU010000072,Host-associated,Human_Intestinal,B2
ESCO.0216.00169,E7112,GCA_902838315,PRJEB34791,ERS3882893,CADFYF010000001-CADFYF010000076,Environmental,Water,A
ESCO.0216.00172,E2844,GCA_902838435,PRJEB34791,ERS3882894,CADFYB010000001-CADFYB010000085,Environmental,Water,B1
ESCO.0216.00173,W1_58,GCA_902838355,PRJEB34791,ERS3882895,CADFYA010000001-CADFYA010000086,Host-associated,Poultry_Meat,B2
ESCO.0216.00174,H474,GCA_902838595,PRJEB34791,ERS3882896,CADFZE010000001-CADFZE010000090,Host-associated,Human_Faecal,A
ESCO.0216.00175,MISC_766,GCA_902838545,PRJEB34791,ERS3882897,CADFZD010000001-CADFZD010000093,Host-associated,Mammal_Faecal,B1
ESCO.0216.00176,E258,GCA_902838505,PRJEB34791,ERS3882898,CADFYQ010000001-CADFYQ010000096,Environmental,Water,A
ESCO.0216.00177,B1937,GCA_902838485,PRJEB34791,ERS3882899,CADFYR010000001-CADFYR010000109,Host-associated,Bird_Faecal,A
ESCO.0216.00178,M671335,GCA_902838525,PRJEB34791,ERS3882900,CADFYW010000001-CADFYW010000113,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00179,M701,GCA_902838575,PRJEB34791,ERS3882901,CADFYU010000001-CADFYU010000175,Host-associated,Mammal_Faecal,D
ESCO.0216.00180,E9844,GCA_902838635,PRJEB34791,ERS3882902,CADFYY010000001-CADFYY010000081,Environmental,Water,B1
ESCO.0216.00181,E2524,GCA_902838615,PRJEB34791,ERS3882903,CADFZC010000001-CADFZC010000083,Environmental,Water,B1
ESCO.0216.00182,M664361,GCA_902838605,PRJEB34791,ERS3882904,CADFYN010000001-CADFYN010000098,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00183,M644693,GCA_902838515,PRJEB34791,ERS3882905,CADFZA010000001-CADFZA010000099,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00184,M663940,GCA_902838655,PRJEB34791,ERS3882906,CADFYV010000001-CADFYV010000105,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00185,B1866,GCA_902838535,PRJEB34791,ERS3882907,CADFYX010000001-CADFYX010000127,Host-associated,Bird_Faecal,C
ESCO.0216.00186,E4259,GCA_902838555,PRJEB34791,ERS3882908,CADFYP010000001-CADFYP010000129,Environmental,Water,B2
ESCO.0216.00187,E8084,GCA_902838585,PRJEB34791,ERS3882909,CADFZB010000001-CADFZB010000149,Environmental,Water,D
ESCO.0216.00189,M558,GCA_902838565,PRJEB34791,ERS3882910,CADFYO010000001-CADFYO010000204,Host-associated,Mammal_Faecal,D
ESCO.0216.00190,TA149,GCA_902838645,PRJEB34791,ERS3882911,CADFYT010000001-CADFYT010000254,Host-associated,Mammal_Faecal,B2
ESCO.0216.00191,E8492,GCA_902838495,PRJEB34791,ERS3882912,CADFYZ010000001-CADFYZ010000081,Environmental,Water,B1
ESCO.0216.00193,E9182,GCA_902838625,PRJEB34791,ERS3882913,CADFYS010000001-CADFYS010000089,Environmental,Water,B1
ESCO.0216.00194,H246,GCA_902838665,PRJEB34791,ERS3882914,CADFZF010000001-CADFZF010000098,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00197,BS157,GCA_902838715,PRJEB34791,ERS3882915,CADFZL010000001-CADFZL010000119,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00199,E8483,GCA_902838755,PRJEB34791,ERS3882916,CADFZS010000001-CADFZS010000086,Environmental,Water,B1
ESCO.0216.00200,H578,GCA_902838725,PRJEB34791,ERS3882917,CADFZK010000001-CADFZK010000095,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00201,51_3_R19,GCA_902838835,PRJEB34791,ERS3882918,CADFZU010000001-CADFZU010000096,Host-associated,Human_Intestinal,D
ESCO.0216.00202,B1036,GCA_902838685,PRJEB34791,ERS3882919,CADFZN010000001-CADFZN010000102,Host-associated,Bird_Faecal,A
ESCO.0216.00203,E4762,GCA_902838745,PRJEB34791,ERS3882920,CADFZT010000001-CADFZT010000103,Environmental,Water,B1
ESCO.0216.00204,B1077,GCA_902838735,PRJEB34791,ERS3882921,CADFZO010000001-CADFZO010000107,Host-associated,Bird_Faecal,D
ESCO.0216.00205,BS117,GCA_902838765,PRJEB34791,ERS3882922,CADFZR010000001-CADFZR010000114,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00206,POSS_24,GCA_902838805,PRJEB34791,ERS3882923,CADFZG010000001-CADFZG010000114,Host-associated,Mammal_Faecal,B2
ESCO.0216.00207,12_2_Ti13,GCA_902838785,PRJEB34791,ERS3882924,CADFZH010000001-CADFZH010000116,Host-associated,Human_Intestinal,B2
ESCO.0216.00208,POSS_67,GCA_902838695,PRJEB34791,ERS3882925,CADFZQ010000001-CADFZQ010000119,Host-associated,Mammal_Faecal,B2
ESCO.0216.00209,TA401,GCA_902838775,PRJEB34791,ERS3882926,CADFZP010000001-CADFZP010000144,Host-associated,Mammal_Faecal,B1
ESCO.0216.00210,52_1_Ti3,GCA_902838795,PRJEB34791,ERS3882927,CADFZM010000001-CADFZM010000153,Host-associated,Human_Intestinal,B2
ESCO.0216.00211,62_2_Ti6b,GCA_902838705,PRJEB34791,ERS3882928,CADFZI010000001-CADFZI010000153,Host-associated,Human_Intestinal,B2
ESCO.0216.00212,M1020,GCA_902838825,PRJEB34791,ERS3882929,CADFZV010000001-CADFZV010000184,Host-associated,Mammal_Faecal,D
ESCO.0216.00213,E2032,GCA_902838675,PRJEB34791,ERS3882930,CADFZJ010000001-CADFZJ010000185,Environmental,Water,B1
ESCO.0216.00214,POSS_71,GCA_902838815,PRJEB34791,ERS3882931,CADFZW010000001-CADFZW010000085,Host-associated,Mammal_Faecal,B2
ESCO.0216.00215,E5939,GCA_902838855,PRJEB34791,ERS3882932,CADFZY010000001-CADFZY010000089,Environmental,Water,B1
ESCO.0216.00216,E5623,GCA_902838865,PRJEB34791,ERS3882933,CADFZZ010000001-CADFZZ010000097,Environmental,Water,B2
ESCO.0216.00218,BS36,GCA_902839035,PRJEB34791,ERS3882934,CADGAQ010000001-CADGAQ010000106,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00219,E7603,GCA_902838995,PRJEB34791,ERS3882935,CADGAP010000001-CADGAP010000106,Environmental,Water,B2
ESCO.0216.00220,B1333,GCA_902838895,PRJEB34791,ERS3882936,CADGAC010000001-CADGAC010000112,Host-associated,Bird_Faecal,D
ESCO.0216.00221,BS76,GCA_902839045,PRJEB34791,ERS3882937,CADGAN010000001-CADGAN010000119,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00222,H131,GCA_902838965,PRJEB34791,ERS3882938,CADGAA010000001-CADGAA010000120,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00223,E8621,GCA_902839015,PRJEB34791,ERS3882939,CADGAR010000001-CADGAR010000126,Environmental,Water,B2
ESCO.0216.00224,POSS_84,GCA_902838935,PRJEB34791,ERS3882940,CADGAD010000001-CADGAD010000126,Host-associated,Mammal_Faecal,B2
ESCO.0216.00226,60_1_Ti1,GCA_902839005,PRJEB34791,ERS3882941,CADGAK010000001-CADGAK010000150,Host-associated,Human_Intestinal,B2
ESCO.0216.00227,E5636,GCA_902839025,PRJEB34791,ERS3882942,CADGAO010000001-CADGAO010000181,Environmental,Water,E
ESCO.0216.00228,TA478,GCA_902838915,PRJEB34791,ERS3882943,CADGAG010000001-CADGAG010000191,Host-associated,Mammal_Faecal,D
ESCO.0216.00229,B486,GCA_902838905,PRJEB34791,ERS3882944,CADGAF010000001-CADGAF010000206,Host-associated,Bird_Faecal,E
ESCO.0216.00230,TA336,GCA_902838885,PRJEB34791,ERS3882945,CADGAE010000001-CADGAE010000222,Host-associated,Mammal_Faecal,D
ESCO.0216.00231,B1895,GCA_902838955,PRJEB34791,ERS3882946,CADGAB010000001-CADGAB010000098,Host-associated,Bird_Faecal,B1
ESCO.0216.00232,M666694,GCA_902838975,PRJEB34791,ERS3882947,CADGAM010000001-CADGAM010000098,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00233,BS142,GCA_902838925,PRJEB34791,ERS3882948,CADGAI010000001-CADGAI010000118,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00234,M710019,GCA_902838985,PRJEB34791,ERS3882949,CADGAL010000001-CADGAL010000119,Host-associated,Human_Faecal,B2
ESCO.0216.00235,A3_17,GCA_902838875,PRJEB34791,ERS3882950,CADGAJ010000001-CADGAJ010000121,Host-associated,Poultry_Meat,B1
ESCO.0216.00236,E2039,GCA_902838945,PRJEB34791,ERS3882951,CADGAH010000001-CADGAH010000251,Environmental,Water,D
ESCO.0216.00237,E2029,GCA_902839055,PRJEB34791,ERS3882952,CADGAS010000001-CADGAS010000441,Environmental,Water,B1
ESCO.0216.00238,E8488,GCA_902839075,PRJEB34791,ERS3882953,CADGAU010000001-CADGAU010000083,Environmental,Water,B1
ESCO.0216.00239,H522,GCA_902839065,PRJEB34791,ERS3882954,CADGAV010000001-CADGAV010000089,Host-associated,Human_Faecal,B2
ESCO.0216.00240,C2_38,GCA_902839095,PRJEB34791,ERS3882955,CADGAT010000001-CADGAT010000102,Host-associated,Poultry_Meat,B1
ESCO.0216.00241,W1_37,GCA_902839085,PRJEB34791,ERS3882956,CADGAW010000001-CADGAW010000103,Host-associated,Poultry_Meat,B1
ESCO.0216.00242,45_1_Ti1,GCA_902840775,PRJEB34791,ERS3882957,CADGHJ010000001-CADGHJ010000105,Host-associated,Human_Intestinal,B2
ESCO.0216.00243,H158,GCA_902840835,PRJEB34791,ERS3882958,CADGHI010000001-CADGHI010000107,Host-associated,Human_Faecal,A
ESCO.0216.00244,M757,GCA_902840955,PRJEB34791,ERS3882959,CADGHK010000001-CADGHK010000108,Host-associated,Mammal_Faecal,A
ESCO.0216.00246,E9180,GCA_902840855,PRJEB34791,ERS3882960,CADGHZ010000001-CADGHZ010000113,Environmental,Water,B1
ESCO.0216.00247,E9866,GCA_902839265,PRJEB34791,ERS3882961,CADGBE010000001-CADGBE010000124,Environmental,Water,B2
ESCO.0216.00248,70_2_Ti12,GCA_902839245,PRJEB34791,ERS3882962,CADGBG010000001-CADGBG010000132,Host-associated,Human_Intestinal,B2
ESCO.0216.00249,E1460,GCA_902839155,PRJEB34791,ERS3882963,CADGBF010000001-CADGBF010000145,Environmental,Water,E
ESCO.0216.00250,H331,GCA_902839255,PRJEB34791,ERS3882964,CADGBL010000001-CADGBL010000147,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00251,12_GNB_036,GCA_902839145,PRJEB34791,ERS3882965,CADGBO010000001-CADGBO010000157,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00252,33_1_TC19,GCA_902839215,PRJEB34791,ERS3882966,CADGBH010000001-CADGBH010000159,Host-associated,Human_Intestinal,B2
ESCO.0216.00253,52_2_Ti10,GCA_902839125,PRJEB34791,ERS3882967,CADGBP010000001-CADGBP010000178,Host-associated,Human_Intestinal,B2
ESCO.0216.00254,W1_33,GCA_902839105,PRJEB34791,ERS3882968,CADGBJ010000001-CADGBJ010000089,Host-associated,Poultry_Meat,B1
ESCO.0216.00256,A1_66,GCA_902839225,PRJEB34791,ERS3882969,CADGBA010000001-CADGBA010000095,Host-associated,Poultry_Meat,B2
ESCO.0216.00257,A4_5,GCA_902839165,PRJEB34791,ERS3882970,CADGBI010000001-CADGBI010000099,Host-associated,Poultry_Meat,B2
ESCO.0216.00258,E7193,GCA_902839275,PRJEB34791,ERS3882971,CADGBK010000001-CADGBK010000100,Environmental,Water,B1
ESCO.0216.00260,H055,GCA_902839185,PRJEB34791,ERS3882973,CADGBD010000001-CADGBD010000142,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00261,B1521,GCA_902839205,PRJEB34791,ERS3882974,CADGBB010000001-CADGBB010000155,Host-associated,Bird_Faecal,E
ESCO.0216.00263,TA059,GCA_902839195,PRJEB34791,ERS3882976,CADGBM010000001-CADGBM010000252,Host-associated,Mammal_Faecal,B2
ESCO.0216.00264,71_2_Ti5,GCA_902839285,PRJEB34791,ERS3882977,CADGAX010000001-CADGAX010000093,Host-associated,Human_Intestinal,D
ESCO.0216.00265,48_5_R19,GCA_902839235,PRJEB34791,ERS3882978,CADGAY010000001-CADGAY010000099,Host-associated,Human_Intestinal,B2
ESCO.0216.00266,E8580,GCA_902839135,PRJEB34791,ERS3882979,CADGBC010000001-CADGBC010000109,Environmental,Water,B1
ESCO.0216.00267,E3676,GCA_902839365,PRJEB34791,ERS3882980,CADGBX010000001-CADGBX010000118,Environmental,Water,B2
ESCO.0216.00268,BS165,GCA_902839295,PRJEB34791,ERS3882981,CADGBS010000001-CADGBS010000123,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00269,41_2_Ti13,GCA_902839355,PRJEB34791,ERS3882982,CADGBR010000001-CADGBR010000136,Host-associated,Human_Intestinal,D
ESCO.0216.00270,B1542,GCA_902839335,PRJEB34791,ERS3882983,CADGBQ010000001-CADGBQ010000146,Host-associated,Bird_Faecal,D
ESCO.0216.00271,E4906,GCA_902839305,PRJEB34791,ERS3882984,CADGBV010000001-CADGBV010000152,Environmental,Water,D
ESCO.0216.00272,19_1_Ti7,GCA_902839315,PRJEB34791,ERS3882985,CADGBW010000001-CADGBW010000155,Host-associated,Human_Intestinal,B2
ESCO.0216.00273,TA348,GCA_902839375,PRJEB34791,ERS3882986,CADGBY010000001-CADGBY010000160,Host-associated,Mammal_Faecal,B1
ESCO.0216.00274,H646,GCA_902839345,PRJEB34791,ERS3882987,CADGBT010000001-CADGBT010000162,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00276,M578,GCA_902839415,PRJEB34791,ERS3882989,CADGCA010000001-CADGCA010000195,Host-associated,Mammal_Faecal,B2
ESCO.0216.00277,CD_62_LN,GCA_902839475,PRJEB34791,ERS3882990,CADGCG010000001-CADGCG010000202,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00279,E2051,GCA_902839425,PRJEB34791,ERS3882991,CADGCI010000001-CADGCI010000241,Environmental,Water,B1
ESCO.0216.00280,E2035,GCA_902839455,PRJEB34791,ERS3882992,CADGCH010000001-CADGCH010000284,Environmental,Water,B1
ESCO.0216.00281,H020,GCA_902839435,PRJEB34791,ERS3882993,CADGCD010000001-CADGCD010000606,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00282,C2_41,GCA_902839405,PRJEB34791,ERS3882994,CADGCB010000001-CADGCB010000108,Host-associated,Poultry_Meat,B1
ESCO.0216.00284,B1804,GCA_902839395,PRJEB34791,ERS3882995,CADGCC010000001-CADGCC010000116,Host-associated,Bird_Faecal,B1
